error_category,example_id,post_text,label,majority_prediction,naive_bayes_prediction,logistic_regression_prediction,bertweet_prediction,majority_correct,naive_bayes_correct,logistic_regression_correct,bertweet_correct,manual_error_type,manual_note,report_use
all_models_wrong,14736,"""I've never been chased by a goose, but I have been chased by a geese."" @desc5114 who thought a goose and a geese were different species",0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,11495,RT @AdelaideKane: Catching my cat skulking around weird places in my apartment is the best part of my day 😺,0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,16852,@_ahmadqushairi yeah. I guess I'll try that.,0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,16764,@anthraxxxx how do you manage? 😢,0,0,1,1,1,True,False,False,False,emoji/emotional marker false positive,Emoji or expressive phrasing may have pushed models toward the positive class.,Use as noisy social-media language example.
all_models_wrong,14430,RT @OMagill98: Annoys me how u can talk to someone for months &amp; then one day they just stop talking to u?? how do u do it?? are u the devil…,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,12064,"RT @Rumi_Quote: Love is cure, Love is power, Love is the magic of changes. Love is the mirror of divine beauty.",0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,17559,Lol they separated us. Said they could charge me with assault but Emma didn't want to lol,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,14642,"RT @kanyewest: These issues included bullying, supporting teachers, modernizing curriculums, and violence in Chicago.",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,11622,You're not really fucked up until you give up.,0,0,1,1,1,True,False,False,False,explicit mental-health/negative keyword false positive,All models likely reacted to strong mental-health or distress keywords even though the gold label is 0.,Use as keyword-driven false-positive example.
all_models_wrong,16573,"If you wanna test out the frostbite effect, get an icecube, and some salt.",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,17546,If you think you and ya ex are gonna remain friends just remember Gucci and Waka don't even talk anymore..,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,10854,"RT @alexs_danvers: drowned in moonlight, strangled by my own bra.",0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,11771,I wish I wasn't #bipolar.  I get tired of the ups and downs of my emotions Every Day!  I hope I dream well if I fall asleep tonight.,0,0,1,1,1,True,False,False,False,explicit mental-health/negative keyword false positive,All models likely reacted to strong mental-health or distress keywords even though the gold label is 0.,Use as keyword-driven false-positive example.
all_models_wrong,17667,"I be typing shit, then I be deleting shit.",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,9001,"But my dad INSISTS we watch the prequels because ""we must prepare"".",1,0,0,0,0,False,False,False,False,positive-class label but no clear textual signal,All models predicted non-depression because the text does not obviously contain depression language.,Use as possible annotation-noise example.
all_models_wrong,14388,"RT @__liveurlife: If I've ever hurt you or done you wrong, honestly get over it.
I'm an extremely nice person so
You prolly deserved it or…",0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
all_models_wrong,17555,Fuck im an addict,0,0,1,1,1,True,False,False,False,explicit mental-health/negative keyword false positive,All models likely reacted to strong mental-health or distress keywords even though the gold label is 0.,Use as keyword-driven false-positive example.
all_models_wrong,16019,"RT @drugistry: why is it called lukewarm 
like why isn’t medium warm 

who is luke",0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,10966,"RT @daildylanobrien: NEWS:
Dylan is officially finished with Teen Wolf. He had his last day on set yesterday and Tyler came to support him.",0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,17587,Crack up that I managed to do a three year degree in three years. Fucking legit couldn't see that coming,0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,14435,"Being 4 years old was probably the best year of my life: no responsibilities, I was still cute, and everybody loved me 😭",0,0,1,1,1,True,False,False,False,emoji/emotional marker false positive,Emoji or expressive phrasing may have pushed models toward the positive class.,Use as noisy social-media language example.
all_models_wrong,11828,"@EmmanuelCallaha @_JR_Hoffa @BAPnificent You didn't want a big wedding, did you son?  Not much for making a fuss over yourself.  lol",0,0,1,1,1,True,False,False,False,ambiguous informal language false positive,Casual wording is hard to interpret without conversation context.,Use as general ambiguity example.
all_models_wrong,17489,Just decided Ima make this lasagne tonight. Cause im hungry. And the bread is moldy,0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,11460,RT @grantgust: I love @NewGirlonFOX. I really do.,0,0,1,1,1,True,False,False,False,humor/pop-culture content false positive,"The tweet is humorous or entertainment-related, but all learned models predicted depression.",Use as example of models misreading casual Twitter language.
all_models_wrong,17561,Fuck the police are coming round in like half an hour,0,0,1,1,1,True,False,False,False,relationship/conflict/negative language false positive,The tweet contains interpersonal conflict or strong negative wording but is labeled non-depression.,Use as false-positive example for general distress vs depression-specific language.
naive_bayes_wrong_bertweet_correct,3094,RT @FullCatHouse: Mood: https://t.co/6Hdppvoxna,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
naive_bayes_wrong_bertweet_correct,6071,RT @Planographer: Spec sesh #geosex16 for #aag2016 heading 2wards 20 papers across 5 sub-themed sessions. #sexwork #porn #bdsm #lgbt #geogr…,1,0,0,1,1,False,False,True,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
naive_bayes_wrong_bertweet_correct,10728,i think about this a lot in conjunction with the idea that there's many ways to say you love someone and like .,0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,17560,To talk to me and Emma. Wonder if there's a female cop and I wonder if they'll talk to us separately,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,17519,"RT @WAKEUPMRWESS: My coworker dumb.
His ""girl"" went out of town last night for a week to visit an old friend (male) and she hasn't replied…",0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,11367,"RT @capbbarnes: ""you made me the father of my dreams when i thought i only had 'fun uncle' potential"" https://t.co/IGpTAvz79M",0,0,1,0,0,True,False,True,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,15142,Also I hate it when they wash/put wax on my hair and roughhouse it like its some kain buruk.,0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,14964,"Me: I want a sugar parent. 

*Sugar parent contacts me*

Me: wtf.",0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,12923,Paul Ryan: “It’s Not Important If Women Can Have Intercourse Without Getting Pregnant Or Not” https://t.co/XpWdCeFj1R,0,0,1,0,0,True,False,True,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,14036,RT @sportsthread: Never ever forget Deandre Hopkins did this to Deangelo Hall though https://t.co/XyD3BqB4QT,0,0,1,0,0,True,False,True,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
naive_bayes_wrong_bertweet_correct,9694,Time to really get on grind man can't sit n count the hours,1,0,0,0,1,False,False,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
naive_bayes_wrong_bertweet_correct,493,#Smoking and #drinking after pregnancy https://t.co/rO7RsSvnLQ,1,0,0,0,1,False,False,False,True,BERTweet handled sparse URL-heavy positive example,"The tweet has limited text and a link, but BERTweet still predicted the positive label.","Use as example of BERTweet improvement, but note external context remains limited."
naive_bayes_wrong_bertweet_correct,818,When did you realize that the lies were actually #delusions?,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
naive_bayes_wrong_bertweet_correct,185,Oh no! What is wrong with people?!?!  :( https://t.co/zl9f9h6agQ,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
naive_bayes_wrong_bertweet_correct,19740,You have taken yourself too seriously.,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,16668,"I honestly don't know what the word ""berkelana"" means. But demn Ayda Jebat is bae.",0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,3535,i wish i was stronger..,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
naive_bayes_wrong_bertweet_correct,14293,RT @Saisailu97: LISTEN why start a conversation with me if you're going to stop replying after I respond??? What purpose does that achieve?…,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,3688,I didn't lose my virginity till after Jr. High. Now young hoes be throwing that ass back after play day..,1,0,0,1,1,False,False,True,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
naive_bayes_wrong_bertweet_correct,4867,@bastilledan thanks for the message! I can't reply because you don't follow me :(,1,0,0,0,1,False,False,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
naive_bayes_wrong_bertweet_correct,15179,RT @liebsmakesstuff: This girl dropped a bucket of Pokémon and these 20-odd Team Skull guys went NUTS https://t.co/VYtPkjnmr2,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,16406,RT @JannyMedvedeva: Can I not ache after an episode 12? Can I just say... This is what I wanted all this time!!! #YuriOnIce12 https://t.co/…,0,0,1,0,0,True,False,True,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
naive_bayes_wrong_bertweet_correct,8533,I mean EVERYONE decided to come in at that time and people were super needy and we were doing the best we could tbh.,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
naive_bayes_wrong_bertweet_correct,4926,Already cast my 5 votes 😊 @StereoKicks @TheXFactor,1,0,0,0,1,False,False,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
naive_bayes_wrong_bertweet_correct,14179,@shaanezehra shaane you'll see me when school starts again dw,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
logistic_regression_wrong_bertweet_correct,3094,RT @FullCatHouse: Mood: https://t.co/6Hdppvoxna,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,10728,i think about this a lot in conjunction with the idea that there's many ways to say you love someone and like .,0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
logistic_regression_wrong_bertweet_correct,17560,To talk to me and Emma. Wonder if there's a female cop and I wonder if they'll talk to us separately,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
logistic_regression_wrong_bertweet_correct,390,#Gender bias when it comes to expressing #anger? https://t.co/amgcxgATFB,1,0,1,0,1,False,True,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,17519,"RT @WAKEUPMRWESS: My coworker dumb.
His ""girl"" went out of town last night for a week to visit an old friend (male) and she hasn't replied…",0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
logistic_regression_wrong_bertweet_correct,15142,Also I hate it when they wash/put wax on my hair and roughhouse it like its some kain buruk.,0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
logistic_regression_wrong_bertweet_correct,14964,"Me: I want a sugar parent. 

*Sugar parent contacts me*

Me: wtf.",0,0,1,1,0,True,False,False,True,BERTweet avoided keyword-driven false positive,"Naive Bayes/Logistic Regression likely over-weighted isolated words, while BERTweet used context to keep label 0.",Use to show contextual modeling can reduce some false positives.
logistic_regression_wrong_bertweet_correct,9694,Time to really get on grind man can't sit n count the hours,1,0,0,0,1,False,False,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
logistic_regression_wrong_bertweet_correct,493,#Smoking and #drinking after pregnancy https://t.co/rO7RsSvnLQ,1,0,0,0,1,False,False,False,True,BERTweet handled sparse URL-heavy positive example,"The tweet has limited text and a link, but BERTweet still predicted the positive label.","Use as example of BERTweet improvement, but note external context remains limited."
logistic_regression_wrong_bertweet_correct,281,#Peer support and breaking the #stigma: https://t.co/avmVqvezGx,1,0,1,0,1,False,True,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,818,When did you realize that the lies were actually #delusions?,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,2496,"91 Crosses Placed In Memory Of Dumped Dogs Along Dowdy Ferry Road 

https://t.co/K9g8C28WAl",1,0,1,0,1,False,True,False,True,BERTweet handled sparse URL-heavy positive example,"The tweet has limited text and a link, but BERTweet still predicted the positive label.","Use as example of BERTweet improvement, but note external context remains limited."
logistic_regression_wrong_bertweet_correct,185,Oh no! What is wrong with people?!?!  :( https://t.co/zl9f9h6agQ,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,19740,You have taken yourself too seriously.,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
logistic_regression_wrong_bertweet_correct,7871,@CaitNorlen14 happy birthday!,1,0,1,0,1,False,True,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
logistic_regression_wrong_bertweet_correct,16668,"I honestly don't know what the word ""berkelana"" means. But demn Ayda Jebat is bae.",0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
logistic_regression_wrong_bertweet_correct,3535,i wish i was stronger..,1,0,0,0,1,False,False,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,9857,RT @ArmorOGod: God's Strength &gt; My Weakness,1,0,1,0,1,False,True,False,True,BERTweet captured subtle/implicit distress,BERTweet predicted the positive class where bag-of-words models missed indirect emotional or mental-health cues.,Use as example where contextual model helps.
logistic_regression_wrong_bertweet_correct,9093,"My boss was like ""Eh.. I didn't see it as offensive but you kinda need to watch your tone sometimes""",1,0,1,0,1,False,True,False,True,BERTweet improved on vague positive-class tweet,BERTweet found enough contextual signal where the traditional model did not.,Use as BERTweet-correct example.
logistic_regression_wrong_bertweet_correct,14293,RT @Saisailu97: LISTEN why start a conversation with me if you're going to stop replying after I respond??? What purpose does that achieve?…,0,0,1,1,0,True,False,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
logistic_regression_wrong_bertweet_correct,14413,MR. 4TH QUARTER KYRIE,0,0,0,1,0,True,True,False,True,BERTweet used context to reject non-depression post,"The traditional model predicted depression, but BERTweet correctly kept the neutral label.",Use as contextual improvement example.
